"id","mean_gs","sd","skewness","kurtosis","current_max","current_mean","current_min","gebco","x","y","sample_type"
1,2.48,1.33,3.7,24.33,0.164273336529732,0.156398266553879,0.146120294928551,-227,-60.0919399996772,43.5737200001266,"Grab Van Veen"
2,4.15,1.82,2.34,9.43,0.11666301637888,0.101988777518272,0.092232897877693,-17,-60.0573499995686,43.9142900007087,"Grab Video"
3,1.79,0.98,4.16,26.64,0.11666301637888,0.101988777518272,0.092232897877693,-17,-60.0573499995686,43.9142900007087,"Grab Video"
4,1.58,0.75,5.16,45.76,0.106330350041389,0.091202817857265,0.081783927977085,-18,-60.0905799989556,43.9150599992651,"Grab Video"
5,0.85,1.16,1.04,15,0.106330350041389,0.091202817857265,0.081783927977085,-18,-60.0878199995805,43.9146899998449,"Grab Video"
6,1.56,0.78,4.59,40.59,0.106330350041389,0.091202817857265,0.081783927977085,-18,-60.0878199995805,43.9146899998449,"Grab Video"
7,1.81,0.78,4.27,36.25,0.106006801128387,0.091521367430687,0.081748574972153,-19,-60.0794700006296,43.9083399995754,"Grab Video"
8,1.59,0.72,5.12,47.21,0.108675941824913,0.093452528119087,0.083062879741192,-21,-60.0757799989138,43.9046200004283,"Grab Video"
9,1.63,0.87,3.53,28.62,0.108675941824913,0.093452528119087,0.083062879741192,-21,-60.0781099984697,43.9061800001702,"Grab Video"
10,1.76,0.72,6.34,56.92,0.067208424210548,0.056905061006546,0.04613758996129,-27,-60.5526299991113,43.959039999649,"Grab Video"
11,1.96,0.7,6.71,60.04,0.066945172846317,0.056725423783064,0.04571271687746,-34,-60.556689999477,43.9553899998782,"Grab Video"
12,0.44,0.89,2.6,24.15,0.065419547259808,0.055353529751301,0.044520776718855,-26,-60.5622999982085,43.9510099997621,"Grab Video"
14,3.06,0.81,3.24,30.95,0.094755239784718,0.08638957887888,0.081683576107025,-63,-60.2555599984786,43.6430300002711,"Grab Video"
15,2.68,1.44,-0.44,12.36,0.071561217308044,0.060516491532326,0.055167101323605,-65,-60.5375399999951,43.6097599995698,"Grab Video"
16,3.08,0.85,3.46,27.68,0.071561217308044,0.060516491532326,0.055167101323605,-65,-60.5400399994847,43.6098599995346,"Grab Video"
17,2.77,0.83,3.79,26.77,0.071813076734543,0.06081261485815,0.05542566254735,-66,-60.5352999995451,43.6095100004753,"Grab Video"
18,1.62,0.79,4.8,38.65,0.071904264390469,0.061129529029131,0.056213304400444,-67,-60.5113499996825,43.6141899997437,"Grab Video"
19,1.81,0.84,4.14,31.61,0.073306649923325,0.062669493257999,0.057846464216709,-65,-60.4990999998553,43.6148000012882,"Grab Video"
20,1.81,0.83,4.39,33.61,0.072596721351147,0.062127698212862,0.057376429438591,-63,-60.4938500000093,43.6148900010434,"Grab Video"
21,-0.08,1.19,1.27,11.29,0.075946010649204,0.072396025061607,0.069472014904022,-71,-61.1587200006518,44.1108799995525,"Grab Video"
22,-0.53,1.48,1.05,8.75,0.075162924826145,0.071637898683548,0.068726725876331,-71,-61.1620800000247,44.106700001164,"Grab Video"
23,1.98,0.88,3.71,30.97,0.076595790684223,0.072973437607288,0.069898553192616,-72,-61.1637499991287,44.1085900003929,"Grab Video"
24,0.23,1.3,1.17,11.56,0.068627819418907,0.06500530987978,0.061989463865757,-64,-61.1707199993912,44.0705300002338,"Grab Video"
25,0.66,0.95,2.26,22.94,0.068627819418907,0.06500530987978,0.061989463865757,-64,-61.1707199993912,44.0705300002338,"Grab Video"
26,2.06,2.25,1.82,9.59,0.070549212396145,0.066691741347313,0.063232012093067,-65,-61.1744199994197,44.0665500000709,"Grab Video"
27,0.77,1.24,1.89,15.01,0.070549212396145,0.066691741347313,0.063232012093067,-65,-61.1744199994197,44.0665500000709,"Grab Video"
28,-0.05,2.56,-0.28,2.59,0.068549931049347,0.065305642783642,0.062864348292351,-65,-61.1442899982,44.082090000613,"Grab Video"
29,0.65,1.43,-1.11,10.87,0.068549931049347,0.065305642783642,0.062864348292351,-65,-61.1442899982,44.082090000613,"Grab Video"
30,1.64,0.79,4.98,41.95,0.068549931049347,0.065305642783642,0.062864348292351,-65,-61.1430400004558,44.0816899999073,"Grab Video"
31,1.64,0.8,4.72,40.6,0.068549931049347,0.065305642783642,0.062864348292351,-65,-61.1449599990914,44.0827499999442,"Grab Video"
33,2.21,0.89,3.5,27.03,0.184747919440269,0.153156355023384,0.122107461094856,-61,-60.6217699986279,44.1325100001412,"Grab Van Veen"
34,2.37,0.67,6.2,53.51,0.107101298868656,0.089289523661137,0.070356294512749,-40,-60.6075699989254,44.0650799998322,"Grab Van Veen"
35,1.51,1.19,4.47,25.27,0.063400417566299,0.05091406032443,0.040235046297312,-24,-60.6588800003837,44.0052399999114,"Grab Van Veen"
36,2.11,0.83,6.11,43.75,0.052275270223618,0.039020545780659,0.026071174070239,-29,-60.7676199980001,44.0332000000825,"Grab Van Veen"
37,1.58,0.8,3.67,41.7,0.078750342130661,0.061331439763308,0.048663374036551,-32,-60.8446799991221,44.1302700004887,"Grab Van Veen"
38,2.02,0.75,5.56,46.7,0.162417873740196,0.131319582462311,0.109202891588211,-27,-60.8411299984368,44.1980199996191,"Grab Van Veen"
39,1.2,0.8,5.7,51.34,0.276594519615173,0.22843898832798,0.191219508647919,-29,-60.8165599981279,44.2565300001176,"Grab Van Veen"
40,1.27,0.99,4.41,30.79,0.103244334459305,0.095905862748623,0.087854787707329,-18,-60.0758399984167,43.9698199999954,"Grab Van Veen"
41,1.89,1.09,4.22,24.4,0.105141639709473,0.098235838115215,0.090366423130035,-18,-60.069379998744,43.9764599993948,"Grab Van Veen"
42,1.15,1.59,2.02,10.12,0.122999101877213,0.108812600374222,0.09668792784214,-54,-60.0518899989279,44.0670200001703,"Grab Van Veen"
43,0.69,1.32,2.93,18.14,0.122999101877213,0.108812600374222,0.09668792784214,-54,-60.0514199977478,44.0670400001428,"Grab Van Veen"
44,1.21,0.86,4.65,38.83,0.137843579053879,0.1296356767416,0.119923122227192,-36,-59.8828399986087,44.0134899996398,"Grab Van Veen"
45,1.18,0.9,4.26,34.38,0.137843579053879,0.1296356767416,0.119923122227192,-36,-59.8830399995371,44.0135700007766,"Grab Van Veen"
46,0.99,0.98,2.88,22.63,0.132664069533348,0.122876338660717,0.116047471761703,-40,-59.8233100004505,44.0133099993088,"Grab Van Veen"
47,0.99,0.93,3.57,28.26,0.132664069533348,0.122876338660717,0.116047471761703,-40,-59.8229099998344,44.0133100007547,"Grab Van Veen"
48,1.05,1.09,3.17,21.95,0.132664069533348,0.122876338660717,0.116047471761703,-40,-59.8224400000518,44.0133100001586,"Grab Van Veen"
50,2.94,1.26,3.15,21.48,0.11800828576088,0.113455839455128,0.109121553599834,-72,-59.62677999981,43.7479199998928,"Grab Van Veen"
52,3.28,0.94,4.24,21.68,0.308345884084702,0.289008110761642,0.268998026847839,-112,-59.2304499998158,43.7511799992852,"Grab Van Veen"
54,1.78,0.7,8.04,71.92,0.129501521587372,0.114970706403255,0.101567260921001,-43,-59.2617099985655,43.9693100002342,"Grab Van Veen"
55,1.97,0.74,5.97,50.38,0.093422032892704,0.076646625995636,0.059562418609858,-23,-59.4836699982803,44.015319999921,"Grab Van Veen"
56,1.43,0.87,6.09,47.18,0.10225348174572,0.079981379210949,0.056328926235437,-21,-59.4074099983771,44.0465199997561,"Grab Van Veen"
57,2.36,0.73,5.25,43.66,0.098543211817741,0.087356902658939,0.076833002269268,-26,-59.5455300004385,43.9888899999592,"Grab Van Veen"
58,1.11,1.06,2.73,20.44,0.099520117044449,0.091161504387856,0.083870381116867,-26,-59.6100499984666,43.973619999591,"Grab Van Veen"
59,1.39,0.95,3.66,26.5,0.099520117044449,0.091161504387856,0.083870381116867,-26,-59.6099099990016,43.9735200002661,"Grab Van Veen"
60,1.43,0.87,4.75,36.62,0.128400728106499,0.12096394598484,0.116820879280567,-27,-59.7438599989764,43.9412100008453,"Grab Van Veen"
61,0.9,1.13,2.14,16.47,0.128400728106499,0.12096394598484,0.116820879280567,-27,-59.743729997777,43.9412700002251,"Grab Van Veen"
62,1.75,0.89,3.89,28.22,0.128400728106499,0.12096394598484,0.116820879280567,-27,-59.7436299985655,43.9413899995908,"Grab Van Veen"
63,2.23,0.92,2.71,18.71,0.119141094386578,0.111829243600369,0.107009403407574,-28,-59.7063199989271,43.9343699999138,"Grab Van Veen"
64,1.79,0.79,4.04,33.21,0.119141094386578,0.111829243600369,0.107009403407574,-28,-59.7072699986874,43.9340300003637,"Grab Van Veen"
65,0.73,1.03,3.62,25.99,0.119141094386578,0.111829243600369,0.107009403407574,-28,-59.7080699984342,43.9335600005972,"Grab Van Veen"
66,1.52,0.94,4.45,31.79,0.123777486383915,0.114725112915039,0.109888702630997,-20,-59.7399499995199,43.9599000009841,"Grab Van Veen"
67,1.72,0.9,3.57,25.64,0.123777486383915,0.114725112915039,0.109888702630997,-20,-59.7399499978267,43.9599500000612,"Grab Van Veen"
68,0.85,0.91,4.96,38.64,0.136690437793732,0.125670656561852,0.120143242180347,-31,-59.7513799983555,43.9127499998494,"Grab Van Veen"
69,1.46,0.83,5.3,43.16,0.056659869849682,0.047829579561949,0.038076121360064,-28,-60.5273799988752,43.9187100007736,"Grab Van Veen"
70,1.28,0.89,5.55,42.63,0.056659869849682,0.047829579561949,0.038076121360064,-28,-60.528169999777,43.9194200005365,"Grab Van Veen"
71,1.34,1.05,4.51,29.66,0.056770227849483,0.04792508482933,0.038150779902935,-28,-60.5297399991379,43.9206100006389,"Grab Van Veen"
72,0.9,0.88,4.6,38.48,0.100376412272453,0.083656534552574,0.072574950754642,-25,-60.1109999981911,43.8888900000343,"Grab Van Veen"
73,2.3,0.73,4.37,36.16,0.106158345937729,0.090824626386166,0.080889038741589,-20,-60.0914200002533,43.9007800006855,"Grab Van Veen"
74,1.78,0.79,4.72,38.93,0.106158345937729,0.090824626386166,0.080889038741589,-20,-60.0915999989746,43.9010400002102,"Grab Van Veen"
75,2.18,0.75,4.63,37.54,0.107015937566757,0.091553412377834,0.081648647785187,-19,-60.0920700003026,43.9012200007519,"Grab Van Veen"
76,2.23,0.77,4.59,36.4,0.107015937566757,0.091553412377834,0.081648647785187,-19,-60.0917299989489,43.9009300005987,"Grab Van Veen"
77,2.1,0.83,5.49,40.43,0.107015937566757,0.091553412377834,0.081648647785187,-19,-60.091840000303,43.9011899995025,"Grab Van Veen"
78,0.86,0.99,4.2,30.57,0.108675941824913,0.093452528119087,0.083062879741192,-21,-60.0790699983211,43.9054099995136,"Grab Van Veen"
79,1.21,0.81,5.25,44.57,0.113504506647587,0.097310021519661,0.086192511022091,-21,-60.0702399999537,43.9022700000589,"Grab Van Veen"
80,0.81,0.85,2.72,29.27,0.108675941824913,0.093452528119087,0.083062879741192,-21,-60.0784499993221,43.9052800009129,"IKU Grab 1 cubic metre"
